Local time,Open,High,Low,Close,Volume
01.07.2025 00:58:00.000 GMT-0500,1.17869,1.17873,1.17863,1.17863,38520
01.07.2025 00:59:00.000 GMT-0500,1.17862,1.17868,1.17857,1.17865,55140
01.07.2025 01:00:00.000 GMT-0500,1.17864,1.17864,1.17829,1.17829,97740
01.07.2025 01:01:00.000 GMT-0500,1.17829,1.17835,1.17809,1.17809,53550
01.07.2025 01:02:00.000 GMT-0500,1.17807,1.17822,1.17802,1.17802,54000
01.07.2025 01:03:00.000 GMT-0500,1.17806,1.17810,1.17794,1.17805,52650
01.07.2025 01:04:00.000 GMT-0500,1.17809,1.17845,1.17809,1.17817,61380
01.07.2025 01:05:00.000 GMT-0500,1.17818,1.17828,1.17805,1.17806,74690
01.07.2025 01:06:00.000 GMT-0500,1.17809,1.17822,1.17800,1.17816,54000
01.07.2025 01:07:00.000 GMT-0500,1.17818,1.17820,1.17806,1.17810,51300
01.07.2025 01:08:00.000 GMT-0500,1.17811,1.17820,1.17805,1.17812,45090
01.07.2025 01:09:00.000 GMT-0500,1.17817,1.17819,1.17793,1.17795,34650
01.07.2025 01:10:00.000 GMT-0500,1.17796,1.17803,1.17791,1.17797,36630
01.07.2025 01:11:00.000 GMT-0500,1.17796,1.17796,1.17779,1.17788,46090
01.07.2025 01:12:00.000 GMT-0500,1.17781,1.17789,1.17778,1.17780,44760
01.07.2025 01:13:00.000 GMT-0500,1.17782,1.17786,1.17770,1.17783,89230
01.07.2025 01:14:00.000 GMT-0500,1.17784,1.17793,1.17778,1.17786,87070
01.07.2025 01:15:00.000 GMT-0500,1.17788,1.17801,1.17788,1.17795,50040
01.07.2025 01:16:00.000 GMT-0500,1.17798,1.17802,1.17781,1.17786,35320
01.07.2025 01:17:00.000 GMT-0500,1.17787,1.17794,1.17785,1.17791,36570
01.07.2025 01:18:00.000 GMT-0500,1.17790,1.17801,1.17786,1.17797,43650
01.07.2025 01:19:00.000 GMT-0500,1.17796,1.17797,1.17778,1.17787,28800
01.07.2025 01:20:00.000 GMT-0500,1.17785,1.17797,1.17767,1.17767,69740
01.07.2025 01:21:00.000 GMT-0500,1.17768,1.17781,1.17763,1.17765,85920
01.07.2025 01:22:00.000 GMT-0500,1.17766,1.17766,1.17758,1.17766,116520
01.07.2025 01:23:00.000 GMT-0500,1.17767,1.17780,1.17766,1.17775,71990
01.07.2025 01:24:00.000 GMT-0500,1.17777,1.17780,1.17770,1.17777,69300
01.07.2025 01:25:00.000 GMT-0500,1.17776,1.17796,1.17773,1.17791,53400
01.07.2025 01:26:00.000 GMT-0500,1.17790,1.17796,1.17782,1.17787,48420
01.07.2025 01:27:00.000 GMT-0500,1.17786,1.17796,1.17785,1.17787,36000
01.07.2025 01:28:00.000 GMT-0500,1.17791,1.17811,1.17791,1.17801,67280
01.07.2025 01:29:00.000 GMT-0500,1.17800,1.17821,1.17800,1.17818,43200
01.07.2025 01:30:00.000 GMT-0500,1.17815,1.17817,1.17805,1.17813,64890
01.07.2025 01:31:00.000 GMT-0500,1.17812,1.17827,1.17812,1.17820,87750
01.07.2025 01:32:00.000 GMT-0500,1.17820,1.17822,1.17809,1.17816,61260
01.07.2025 01:33:00.000 GMT-0500,1.17816,1.17816,1.17799,1.17803,81630
01.07.2025 01:34:00.000 GMT-0500,1.17803,1.17824,1.17803,1.17819,48600
01.07.2025 01:35:00.000 GMT-0500,1.17818,1.17821,1.17804,1.17811,94380
01.07.2025 01:36:00.000 GMT-0500,1.17812,1.17824,1.17811,1.17821,61350
01.07.2025 01:37:00.000 GMT-0500,1.17820,1.17820,1.17787,1.17787,90130
01.07.2025 01:38:00.000 GMT-0500,1.17789,1.17791,1.17773,1.17779,103560
01.07.2025 01:39:00.000 GMT-0500,1.17779,1.17816,1.17779,1.17815,59190
01.07.2025 01:40:00.000 GMT-0500,1.17815,1.17828,1.17809,1.17826,69430
01.07.2025 01:41:00.000 GMT-0500,1.17825,1.17827,1.17817,1.17825,90150
01.07.2025 01:42:00.000 GMT-0500,1.17825,1.17833,1.17816,1.17830,86940
01.07.2025 01:43:00.000 GMT-0500,1.17830,1.17840,1.17830,1.17834,96570
01.07.2025 01:44:00.000 GMT-0500,1.17834,1.17839,1.17826,1.17836,78240
01.07.2025 01:45:00.000 GMT-0500,1.17836,1.17841,1.17832,1.17832,78010
01.07.2025 01:46:00.000 GMT-0500,1.17832,1.17838,1.17824,1.17824,62320
01.07.2025 01:47:00.000 GMT-0500,1.17828,1.17835,1.17825,1.17834,45160
01.07.2025 01:48:00.000 GMT-0500,1.17832,1.17843,1.17825,1.17825,45520
01.07.2025 01:49:00.000 GMT-0500,1.17825,1.17844,1.17813,1.17840,141009.99
01.07.2025 01:50:00.000 GMT-0500,1.17840,1.17854,1.17810,1.17812,106500
01.07.2025 01:51:00.000 GMT-0500,1.17814,1.17858,1.17809,1.17858,140200
01.07.2025 01:52:00.000 GMT-0500,1.17859,1.17865,1.17849,1.17851,84600
01.07.2025 01:53:00.000 GMT-0500,1.17849,1.17856,1.17821,1.17825,117930
01.07.2025 01:54:00.000 GMT-0500,1.17822,1.17830,1.17818,1.17826,116300
01.07.2025 01:55:00.000 GMT-0500,1.17824,1.17830,1.17801,1.17802,120800
01.07.2025 01:56:00.000 GMT-0500,1.17805,1.17808,1.17787,1.17789,135710.01
01.07.2025 01:57:00.000 GMT-0500,1.17788,1.17808,1.17787,1.17803,76500
01.07.2025 01:58:00.000 GMT-0500,1.17802,1.17805,1.17792,1.17800,78910
01.07.2025 01:59:00.000 GMT-0500,1.17801,1.17801,1.17789,1.17793,72090
01.07.2025 02:00:00.000 GMT-0500,1.17793,1.17799,1.17767,1.17777,130390
01.07.2025 02:01:00.000 GMT-0500,1.17779,1.17781,1.17747,1.17750,86540
01.07.2025 02:02:00.000 GMT-0500,1.17747,1.17748,1.17687,1.17688,194920
01.07.2025 02:03:00.000 GMT-0500,1.17688,1.17704,1.17673,1.17691,195190
01.07.2025 02:04:00.000 GMT-0500,1.17693,1.17731,1.17693,1.17731,122680
01.07.2025 02:05:00.000 GMT-0500,1.17731,1.17757,1.17729,1.17749,139550
01.07.2025 02:06:00.000 GMT-0500,1.17751,1.17767,1.17742,1.17743,83790
01.07.2025 02:07:00.000 GMT-0500,1.17742,1.17760,1.17736,1.17755,100110
01.07.2025 02:08:00.000 GMT-0500,1.17755,1.17775,1.17755,1.17769,127420
01.07.2025 02:09:00.000 GMT-0500,1.17770,1.17781,1.17753,1.17770,114100
01.07.2025 02:10:00.000 GMT-0500,1.17771,1.17811,1.17765,1.17809,159360
01.07.2025 02:11:00.000 GMT-0500,1.17810,1.17842,1.17807,1.17839,101460
01.07.2025 02:12:00.000 GMT-0500,1.17841,1.17843,1.17833,1.17841,96170
01.07.2025 02:13:00.000 GMT-0500,1.17841,1.17846,1.17823,1.17823,79200
01.07.2025 02:14:00.000 GMT-0500,1.17822,1.17845,1.17822,1.17842,71140
01.07.2025 02:15:00.000 GMT-0500,1.17839,1.17848,1.17818,1.17844,113600
01.07.2025 02:16:00.000 GMT-0500,1.17843,1.17862,1.17843,1.17858,176890
01.07.2025 02:17:00.000 GMT-0500,1.17858,1.17864,1.17857,1.17862,180520
01.07.2025 02:18:00.000 GMT-0500,1.17863,1.17866,1.17839,1.17839,84570
01.07.2025 02:19:00.000 GMT-0500,1.17839,1.17864,1.17839,1.17864,68200
01.07.2025 02:20:00.000 GMT-0500,1.17863,1.17878,1.17856,1.17862,72110
01.07.2025 02:21:00.000 GMT-0500,1.17861,1.17868,1.17852,1.17856,62980
01.07.2025 02:22:00.000 GMT-0500,1.17856,1.17871,1.17846,1.17864,67360
01.07.2025 02:23:00.000 GMT-0500,1.17865,1.17870,1.17851,1.17857,74010
01.07.2025 02:24:00.000 GMT-0500,1.17857,1.17858,1.17828,1.17831,58440
01.07.2025 02:25:00.000 GMT-0500,1.17832,1.17857,1.17826,1.17854,110390
01.07.2025 02:26:00.000 GMT-0500,1.17854,1.17858,1.17841,1.17846,80320
01.07.2025 02:27:00.000 GMT-0500,1.17845,1.17858,1.17842,1.17852,32400
01.07.2025 02:28:00.000 GMT-0500,1.17853,1.17857,1.17838,1.17843,44170
01.07.2025 02:29:00.000 GMT-0500,1.17844,1.17850,1.17842,1.17847,26100
01.07.2025 02:30:00.000 GMT-0500,1.17849,1.17862,1.17849,1.17857,59850
01.07.2025 02:31:00.000 GMT-0500,1.17854,1.17854,1.17829,1.17845,69820
01.07.2025 02:32:00.000 GMT-0500,1.17848,1.17851,1.17832,1.17834,151310
01.07.2025 02:33:00.000 GMT-0500,1.17835,1.17841,1.17830,1.17840,66540
01.07.2025 02:34:00.000 GMT-0500,1.17839,1.17843,1.17833,1.17834,35210
01.07.2025 02:35:00.000 GMT-0500,1.17836,1.17839,1.17829,1.17836,40500
01.07.2025 02:36:00.000 GMT-0500,1.17834,1.17846,1.17814,1.17837,63900
01.07.2025 02:37:00.000 GMT-0500,1.17838,1.17846,1.17831,1.17846,71280
01.07.2025 02:38:00.000 GMT-0500,1.17847,1.17866,1.17847,1.17863,72980
01.07.2025 02:39:00.000 GMT-0500,1.17863,1.17863,1.17851,1.17852,63970
01.07.2025 02:40:00.000 GMT-0500,1.17850,1.17852,1.17828,1.17840,142370
01.07.2025 02:41:00.000 GMT-0500,1.17841,1.17847,1.17828,1.17840,104650
01.07.2025 02:42:00.000 GMT-0500,1.17837,1.17837,1.17818,1.17826,55350
01.07.2025 02:43:00.000 GMT-0500,1.17825,1.17830,1.17809,1.17814,81490
01.07.2025 02:44:00.000 GMT-0500,1.17812,1.17840,1.17812,1.17834,90550
01.07.2025 02:45:00.000 GMT-0500,1.17832,1.17832,1.17796,1.17796,96610
01.07.2025 02:46:00.000 GMT-0500,1.17793,1.17817,1.17783,1.17813,100080
01.07.2025 02:47:00.000 GMT-0500,1.17812,1.17813,1.17799,1.17809,77180
01.07.2025 02:48:00.000 GMT-0500,1.17811,1.17811,1.17800,1.17804,68020
01.07.2025 02:49:00.000 GMT-0500,1.17803,1.17814,1.17789,1.17809,97580
01.07.2025 02:50:00.000 GMT-0500,1.17810,1.17813,1.17788,1.17793,67600
01.07.2025 02:51:00.000 GMT-0500,1.17791,1.17801,1.17787,1.17801,22890
01.07.2025 02:52:00.000 GMT-0500,1.17803,1.17818,1.17803,1.17816,30280
01.07.2025 02:53:00.000 GMT-0500,1.17817,1.17828,1.17815,1.17819,37710
01.07.2025 02:54:00.000 GMT-0500,1.17817,1.17831,1.17816,1.17816,53500
01.07.2025 02:55:00.000 GMT-0500,1.17817,1.17832,1.17817,1.17832,39600
01.07.2025 02:56:00.000 GMT-0500,1.17831,1.17855,1.17825,1.17845,76500
01.07.2025 02:57:00.000 GMT-0500,1.17845,1.17845,1.17832,1.17837,37780
01.07.2025 02:58:00.000 GMT-0500,1.17836,1.17861,1.17836,1.17853,106120
01.07.2025 02:59:00.000 GMT-0500,1.17852,1.17863,1.17848,1.17858,86320
01.07.2025 03:00:00.000 GMT-0500,1.17856,1.17856,1.17830,1.17835,165610
01.07.2025 03:01:00.000 GMT-0500,1.17834,1.17834,1.17794,1.17819,158560
01.07.2025 03:02:00.000 GMT-0500,1.17818,1.17834,1.17811,1.17815,110880
01.07.2025 03:03:00.000 GMT-0500,1.17817,1.17829,1.17811,1.17825,72430
01.07.2025 03:04:00.000 GMT-0500,1.17824,1.17827,1.17810,1.17811,104850
01.07.2025 03:05:00.000 GMT-0500,1.17809,1.17825,1.17792,1.17793,119240
01.07.2025 03:06:00.000 GMT-0500,1.17793,1.17816,1.17784,1.17815,127020
01.07.2025 03:07:00.000 GMT-0500,1.17816,1.17825,1.17807,1.17817,159270
01.07.2025 03:08:00.000 GMT-0500,1.17817,1.17819,1.17809,1.17811,63560
01.07.2025 03:09:00.000 GMT-0500,1.17814,1.17834,1.17814,1.17819,76960
01.07.2025 03:10:00.000 GMT-0500,1.17818,1.17819,1.17791,1.17798,128390
01.07.2025 03:11:00.000 GMT-0500,1.17797,1.17802,1.17752,1.17757,177730
01.07.2025 03:12:00.000 GMT-0500,1.17759,1.17769,1.17750,1.17752,101060
01.07.2025 03:13:00.000 GMT-0500,1.17751,1.17773,1.17743,1.17770,173649.99
01.07.2025 03:14:00.000 GMT-0500,1.17770,1.17783,1.17766,1.17769,113090
01.07.2025 03:15:00.000 GMT-0500,1.17768,1.17784,1.17768,1.17777,117820
01.07.2025 03:16:00.000 GMT-0500,1.17775,1.17791,1.17761,1.17791,129289.99
01.07.2025 03:17:00.000 GMT-0500,1.17791,1.17812,1.17787,1.17811,83890
01.07.2025 03:18:00.000 GMT-0500,1.17811,1.17816,1.17794,1.17814,201259.99
01.07.2025 03:19:00.000 GMT-0500,1.17815,1.17823,1.17803,1.17821,181149.99
01.07.2025 03:20:00.000 GMT-0500,1.17820,1.17827,1.17814,1.17817,75600
01.07.2025 03:21:00.000 GMT-0500,1.17815,1.17823,1.17805,1.17817,149440
01.07.2025 03:22:00.000 GMT-0500,1.17817,1.17825,1.17807,1.17808,149280
01.07.2025 03:23:00.000 GMT-0500,1.17809,1.17863,1.17809,1.17855,179009.99
01.07.2025 03:24:00.000 GMT-0500,1.17857,1.17874,1.17852,1.17872,119190
01.07.2025 03:25:00.000 GMT-0500,1.17869,1.17869,1.17846,1.17847,75720
01.07.2025 03:26:00.000 GMT-0500,1.17846,1.17862,1.17843,1.17862,49500
01.07.2025 03:27:00.000 GMT-0500,1.17860,1.17874,1.17857,1.17864,92730
01.07.2025 03:28:00.000 GMT-0500,1.17863,1.17873,1.17862,1.17866,92000
01.07.2025 03:29:00.000 GMT-0500,1.17866,1.17884,1.17866,1.17883,90360
01.07.2025 03:30:00.000 GMT-0500,1.17884,1.17890,1.17864,1.17868,80360
01.07.2025 03:31:00.000 GMT-0500,1.17868,1.17868,1.17856,1.17858,82770
01.07.2025 03:32:00.000 GMT-0500,1.17858,1.17882,1.17854,1.17875,113490
01.07.2025 03:33:00.000 GMT-0500,1.17879,1.17939,1.17879,1.17939,147509.99
01.07.2025 03:34:00.000 GMT-0500,1.17936,1.17962,1.17929,1.17930,238289.99
01.07.2025 03:35:00.000 GMT-0500,1.17930,1.17933,1.17906,1.17911,130620
01.07.2025 03:36:00.000 GMT-0500,1.17910,1.17913,1.17900,1.17906,89940
01.07.2025 03:37:00.000 GMT-0500,1.17907,1.17944,1.17902,1.17942,97950
01.07.2025 03:38:00.000 GMT-0500,1.17943,1.17967,1.17931,1.17966,193720
01.07.2025 03:39:00.000 GMT-0500,1.17968,1.17982,1.17959,1.17963,162509.99
01.07.2025 03:40:00.000 GMT-0500,1.17962,1.17963,1.17950,1.17961,118920
01.07.2025 03:41:00.000 GMT-0500,1.17960,1.17960,1.17934,1.17935,133950
01.07.2025 03:42:00.000 GMT-0500,1.17934,1.17934,1.17909,1.17922,161130
01.07.2025 03:43:00.000 GMT-0500,1.17922,1.17925,1.17913,1.17923,147149.99
01.07.2025 03:44:00.000 GMT-0500,1.17926,1.17933,1.17923,1.17928,102150
01.07.2025 03:45:00.000 GMT-0500,1.17930,1.17954,1.17922,1.17954,92250
01.07.2025 03:46:00.000 GMT-0500,1.17954,1.17962,1.17934,1.17943,182670
01.07.2025 03:47:00.000 GMT-0500,1.17942,1.17967,1.17929,1.17958,97230
01.07.2025 03:48:00.000 GMT-0500,1.17959,1.17984,1.17959,1.17969,139200
01.07.2025 03:49:00.000 GMT-0500,1.17969,1.17974,1.17958,1.17969,102960
01.07.2025 03:50:00.000 GMT-0500,1.17970,1.17989,1.17967,1.17982,140759.99
01.07.2025 03:51:00.000 GMT-0500,1.17983,1.17986,1.17962,1.17963,140460.01
01.07.2025 03:52:00.000 GMT-0500,1.17964,1.17977,1.17956,1.17977,103290
01.07.2025 03:53:00.000 GMT-0500,1.17977,1.18045,1.17975,1.18042,165460.01
01.07.2025 03:54:00.000 GMT-0500,1.18041,1.18172,1.18040,1.18145,475660
01.07.2025 03:55:00.000 GMT-0500,1.18149,1.18164,1.18112,1.18139,329040.01
01.07.2025 03:56:00.000 GMT-0500,1.18140,1.18141,1.18103,1.18109,236140
01.07.2025 03:57:00.000 GMT-0500,1.18109,1.18109,1.18071,1.18077,255310
01.07.2025 03:58:00.000 GMT-0500,1.18074,1.18075,1.18058,1.18063,142679.99
01.07.2025 03:59:00.000 GMT-0500,1.18064,1.18064,1.18043,1.18043,114990
01.07.2025 04:00:00.000 GMT-0500,1.18041,1.18043,1.18006,1.18017,242340
01.07.2025 04:01:00.000 GMT-0500,1.18019,1.18023,1.18013,1.18023,47980
01.07.2025 04:02:00.000 GMT-0500,1.18023,1.18025,1.18010,1.18018,93670
01.07.2025 04:03:00.000 GMT-0500,1.18017,1.18027,1.18000,1.18027,57000
01.07.2025 04:04:00.000 GMT-0500,1.18026,1.18038,1.18020,1.18035,50430
01.07.2025 04:05:00.000 GMT-0500,1.18034,1.18052,1.18031,1.18052,50610
01.07.2025 04:06:00.000 GMT-0500,1.18050,1.18060,1.18037,1.18039,81960
01.07.2025 04:07:00.000 GMT-0500,1.18038,1.18039,1.18006,1.18008,55120
01.07.2025 04:08:00.000 GMT-0500,1.18008,1.18008,1.17969,1.18003,98890
01.07.2025 04:09:00.000 GMT-0500,1.18003,1.18011,1.17985,1.18000,119580
01.07.2025 04:10:00.000 GMT-0500,1.18004,1.18021,1.17997,1.18003,181340
01.07.2025 04:11:00.000 GMT-0500,1.18002,1.18002,1.17978,1.17979,170840
01.07.2025 04:12:00.000 GMT-0500,1.17979,1.17995,1.17966,1.17992,148929.99
01.07.2025 04:13:00.000 GMT-0500,1.17991,1.18007,1.17986,1.18001,42780
01.07.2025 04:14:00.000 GMT-0500,1.18006,1.18026,1.18000,1.18022,86010
01.07.2025 04:15:00.000 GMT-0500,1.18023,1.18063,1.18022,1.18048,176350.01
01.07.2025 04:16:00.000 GMT-0500,1.18049,1.18065,1.18047,1.18064,161789.99
01.07.2025 04:17:00.000 GMT-0500,1.18066,1.18088,1.18061,1.18081,130259.99
01.07.2025 04:18:00.000 GMT-0500,1.18079,1.18124,1.18079,1.18124,102150
01.07.2025 04:19:00.000 GMT-0500,1.18124,1.18167,1.18123,1.18141,234030
01.07.2025 04:20:00.000 GMT-0500,1.18140,1.18140,1.18112,1.18124,77640
01.07.2025 04:21:00.000 GMT-0500,1.18129,1.18145,1.18126,1.18132,91370
01.07.2025 04:22:00.000 GMT-0500,1.18132,1.18149,1.18105,1.18132,200740.01
01.07.2025 04:23:00.000 GMT-0500,1.18130,1.18149,1.18119,1.18127,239190
01.07.2025 04:24:00.000 GMT-0500,1.18127,1.18159,1.18113,1.18155,265090
01.07.2025 04:25:00.000 GMT-0500,1.18153,1.18174,1.18139,1.18173,237960.01
01.07.2025 04:26:00.000 GMT-0500,1.18170,1.18186,1.18144,1.18144,175110
01.07.2025 04:27:00.000 GMT-0500,1.18145,1.18178,1.18143,1.18161,101030
01.07.2025 04:28:00.000 GMT-0500,1.18156,1.18166,1.18140,1.18162,73390
01.07.2025 04:29:00.000 GMT-0500,1.18164,1.18164,1.18143,1.18146,69030
01.07.2025 04:30:00.000 GMT-0500,1.18144,1.18214,1.18138,1.18211,214020
01.07.2025 04:31:00.000 GMT-0500,1.18211,1.18232,1.18200,1.18220,136080
01.07.2025 04:32:00.000 GMT-0500,1.18219,1.18240,1.18211,1.18229,146610
01.07.2025 04:33:00.000 GMT-0500,1.18230,1.18237,1.18225,1.18225,115350
01.07.2025 04:34:00.000 GMT-0500,1.18226,1.18298,1.18223,1.18259,177470
01.07.2025 04:35:00.000 GMT-0500,1.18257,1.18257,1.18227,1.18240,291359.99
01.07.2025 04:36:00.000 GMT-0500,1.18241,1.18262,1.18211,1.18213,101160
01.07.2025 04:37:00.000 GMT-0500,1.18215,1.18240,1.18215,1.18235,82340
01.07.2025 04:38:00.000 GMT-0500,1.18237,1.18244,1.18221,1.18221,33510
01.07.2025 04:39:00.000 GMT-0500,1.18222,1.18239,1.18222,1.18231,66150
01.07.2025 04:40:00.000 GMT-0500,1.18230,1.18255,1.18223,1.18223,47700
01.07.2025 04:41:00.000 GMT-0500,1.18223,1.18223,1.18185,1.18193,150420
01.07.2025 04:42:00.000 GMT-0500,1.18196,1.18210,1.18193,1.18210,75300
01.07.2025 04:43:00.000 GMT-0500,1.18209,1.18216,1.18198,1.18212,69040
01.07.2025 04:44:00.000 GMT-0500,1.18210,1.18213,1.18200,1.18209,38010
01.07.2025 04:45:00.000 GMT-0500,1.18211,1.18240,1.18204,1.18238,76530
01.07.2025 04:46:00.000 GMT-0500,1.18236,1.18238,1.18219,1.18221,50400
01.07.2025 04:47:00.000 GMT-0500,1.18220,1.18245,1.18209,1.18209,101160
01.07.2025 04:48:00.000 GMT-0500,1.18209,1.18209,1.18189,1.18195,164310
01.07.2025 04:49:00.000 GMT-0500,1.18192,1.18207,1.18190,1.18195,134880
01.07.2025 04:50:00.000 GMT-0500,1.18194,1.18203,1.18184,1.18187,132990.01
01.07.2025 04:51:00.000 GMT-0500,1.18188,1.18213,1.18188,1.18209,76920
01.07.2025 04:52:00.000 GMT-0500,1.18211,1.18213,1.18189,1.18202,168340
01.07.2025 04:53:00.000 GMT-0500,1.18201,1.18205,1.18177,1.18197,90660
01.07.2025 04:54:00.000 GMT-0500,1.18197,1.18200,1.18166,1.18167,118710
01.07.2025 04:55:00.000 GMT-0500,1.18169,1.18169,1.18150,1.18150,178759.99
01.07.2025 04:56:00.000 GMT-0500,1.18151,1.18164,1.18147,1.18147,286170.01
01.07.2025 04:57:00.000 GMT-0500,1.18148,1.18153,1.18138,1.18149,220280
01.07.2025 04:58:00.000 GMT-0500,1.18149,1.18160,1.18134,1.18137,226350.01
01.07.2025 04:59:00.000 GMT-0500,1.18138,1.18144,1.18132,1.18136,509000
01.07.2025 05:00:00.000 GMT-0500,1.18137,1.18169,1.18137,1.18154,100860
01.07.2025 05:01:00.000 GMT-0500,1.18152,1.18152,1.18141,1.18146,153450
01.07.2025 05:02:00.000 GMT-0500,1.18145,1.18151,1.18128,1.18139,159720
01.07.2025 05:03:00.000 GMT-0500,1.18138,1.18141,1.18121,1.18140,97450
01.07.2025 05:04:00.000 GMT-0500,1.18142,1.18169,1.18141,1.18167,144000
01.07.2025 05:05:00.000 GMT-0500,1.18166,1.18180,1.18154,1.18177,73380
01.07.2025 05:06:00.000 GMT-0500,1.18181,1.18188,1.18168,1.18171,66030
01.07.2025 05:07:00.000 GMT-0500,1.18168,1.18172,1.18160,1.18166,36880
01.07.2025 05:08:00.000 GMT-0500,1.18167,1.18167,1.18149,1.18167,71440
